_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
917882520,false,finalized,3,3/28/2016 09:44:24,injured_or_dead_people,1.0,,'451228412083204096',"""@rmapalacios: Terremoto  HaitÃ­ 2010: 300,000 muertos,7.2 de magnitud.Terremoto Iquique,ayer: 5 muertos,8.3 de magnitud. SÃ³lo PrevenciÃ³n!"""
917882521,false,finalized,4,3/28/2016 09:10:17,donation_needs_or_offers_or_volunteering_services,0.4838,,'451228413211459584',RT @tomascamus: #TwitterosSolidarios #FuerzaIquique #ayuda #chile @RodrigoMoranV @FernandoGarayP RT http://t.co/wU3n6GhdzF
917882522,false,finalized,3,3/28/2016 08:45:15,sympathy_and_emotional_support,0.3399,,'451228413219860481',frente al #TerremotoenChile da gusto ver como @TECHOChile se pone a disposiciÃ³n y los estudiantes se organizan para ayudar... da esperanza
917882523,false,finalized,3,3/28/2016 08:39:41,not_related_or_irrelevant,0.6639,,'451228413291167744',RT @Barbiprrra: #FuerzaChile ? AH SII? ellos tambien pidieron por nosotros un dia como hoy? CHILENOS PUTOOOOOS que los vengan a ayudar los â€¦
917882524,false,finalized,3,3/28/2016 08:39:24,other_useful_information,1.0,,'451228413576364032',RT @CNNChile: Heroico rescate de un perro en Iquique tras el #TerremotoenChile http://t.co/SUCRI8H4S2 http://t.co/GzOjYiTigW
917882525,false,finalized,3,3/28/2016 08:44:31,donation_needs_or_offers_or_volunteering_services,1.0,,'451228414507503616',"RT @Carlinhos_7: En Chile despuÃ©s del terremoto estamos bien, si quieren ayudar, envÃ­en comida a Argentina, allÃ¡ se mueren de hambre... #Muâ€¦"
917882526,false,finalized,3,3/28/2016 09:01:28,donation_needs_or_offers_or_volunteering_services,1.0,,'451228414955892736',RT @LuisEduardoVP: Funcionarios de la armada tambiÃ©n ayudan a descargar #Iquique #TwitterosSolidarios http://t.co/bt6KFG1Trp
917882527,false,finalized,3,3/28/2016 08:36:41,donation_needs_or_offers_or_volunteering_services,1.0,,'451228416285884416',"RT @tgiovines: Hoy #yoga en el Ananda surf, sÃ³lo debes llevar algo para ayudar a los damnificados #iquique #yogaton #FuerzaNortedeChile"
917882528,false,finalized,3,3/28/2016 08:39:24,injured_or_dead_people,0.6547,,'451228416424292352',RT @todonoticias: Seis muertos y miles de evacuados por el terremoto en Chile  http://t.co/4vU4eDm90s
917882529,false,finalized,3,3/28/2016 08:52:25,sympathy_and_emotional_support,1.0,,'451228417644851200',"RT @leonardofarkas: Mi corazÃ³n y mis oraciones con mis compatriotas de Arica,Iquique y norte de Chile.Unidos saldremos adelante. Leonardo Fâ€¦"
