tweet_id,tweet_text,label
'498497663609085955',"RT @timesofindia: Nepal flood toll hits 101, fears of disease rise http://t.co/sgobu7cYpv http://t.co/yj9dao3ssS",injured_or_dead_people
'498497681036025856',"Deadly monsoon hits India, Nepal: Dozens of people have been killed in flooding in northern and eastern India,... http://t.co/ZD6a96HdzL",injured_or_dead_people
'498497696949235712',Many dead in Nepal and India floods: At least 160 people are reported to have been killed in floods and landsl... http://t.co/tnQ9cSiO2c,injured_or_dead_people
'498497699659137024',"RT @ndtv: Flood fury in North India: dozens killed, lakhs affected http://t.co/qKpL8sYnUV",injured_or_dead_people
'498497714183626754',"Flood Fury in North India: Dozens Killed, Lakhs Affected Read Story: http://t.co/gASE5SMgJ6",injured_or_dead_people
'498497723600211968',RT @newsflicks: Indian fakes flood the world. Medicines the most faked product. Full story in Poliflicks here http://t.co/6ktEqkm1Dg http:/â€°Ã›_,not_related_or_irrelevant
'498497744609488896',"Monsoon kills hundreds in India, Nepal: Dozens of people have been killed in flooding in northern and eastern ... http://t.co/uvRySsItEJ",injured_or_dead_people
'498497752012451840',"Landslides, Flooding Kill 109 In Nepal, Northern India: The death toll from landslides and flooding triggered ... http://t.co/1OcSr2xG4S",injured_or_dead_people
'498497752574472192',"Latest : Uttar Pradesh floods: 28 killed, 1500 villages affected - Livemint: The HinduUttar Prades... http://t.co/WWKhuZdciz #IndianNews",injured_or_dead_people
'498497760543653889',"#News: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away straw huts: Authori... http://t.co/FQ8TrCxjRi #TU",injured_or_dead_people
'498497771310448640',"""Scores Killed in Flooding in Nepal and India"" by BHADRA SHARMA and NIDA NAJAR via NYT The New York Times http://t.co/DWOhWxrtw0",injured_or_dead_people
'498497771918614528',Many dead in Nepal and India floods http://t.co/R4C6ORZg68,injured_or_dead_people
'498497779606781952',"Latest : UP floods kill 28, Centre calls it 'unprecedented' - Times of India: Indian ExpressUP flo... http://t.co/gi1ZOkDlzJ #IndianNews",injured_or_dead_people
'498497788519657472',"(#LosDelSonido) 180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths,...  (#IvanBerroa)",injured_or_dead_people
'498497807645290498',"Nepal, India floods kill nearly 200 http://t.co/RIun2hEruj #civil_vision",injured_or_dead_people
'498497811575369728',"RT @infonaija: Landslides, Flooding Kill 109 In Nepal, Northern India - The death toll from landslides and flooding triggered by ... http:/â€°Ã›_",injured_or_dead_people
'498497823802159104',RT @yourafiq: #Indian forest rangers ride on an elephant as they patrol in the flood affected Pobitora Wildlife Sanctuary #Guwahati http://â€°Ã›_,other_useful_information
'498497825807015937',"RT @timesofindia: Flood situation in Assam grim, toll rises to 3 http://t.co/b2dfOiBWEtâ€°Ã›_",injured_or_dead_people
'498497828906213377',"Flood Fury in North India: Dozens Killed, Lakhs Affected",injured_or_dead_people
'498497830991179777',http://t.co/Jh9RReRXgf Flood like situation in Jaipur's sub-urb @INSubcontinent #INSubcontinent #India http://t.co/g8a2bcCPqV,other_useful_information
'498497845067259905',"UP floods kill 28, Centre calls it 'unprecedented' - Times of India http://t.co/rnZ09Yl7ip",injured_or_dead_people
'498497845880963072',"RT @reliefweb: Latest @OCHAAsiaPac #humanitarian snapshot: #floods in #Nepal, India &amp; #Laos; volcano in #PNG: http://t.co/quAdOKetB0 http:/â€°Ã›_",other_useful_information
'498497848196218880',"Nepal flood toll hits 101, fears of disease rise. ... - http://t.co/2OLRK5uJvd #NewsInTweetsIndia",injured_or_dead_people
'498497852796973056',"#SuryaRay @Akansha_Gautam Flood Fury in North India: Dozens Killed, Lakhs Affected http://t.co/KheGlBfGOd #India #Indian @SuryaRay",injured_or_dead_people
'498497854626078722',Many dead in Nepal and India floods: At least 160 people are reported to have been killed i... http://t.co/KtGQV1ZmkR via @DudleyFreedom,injured_or_dead_people
'498497857981145088',Flood death toll mounts in India and Nepal http://t.co/XJwMLel2VI,injured_or_dead_people
'498497864885338112',Scores Killed in Flooding in Nepal and India http://t.co/vrJATQo3Ys,injured_or_dead_people
'498497878609125376',"RT @cnnbrk: Officials: Dozens killed in flooding in northern and eastern India, while death toll in Nepal has passed 100. http://t.co/BD10Vâ€°Ã›_",injured_or_dead_people
'498497890835505153',Thousands homeless as heavy rain and flash flood wreaks havok in India http://t.co/beEUJucCG8,displaced_people_and_evacuations
'498497893415018497',"180 dead in Nepal, India floods, thousands displaced http://t.co/KWwjtogQ4r",injured_or_dead_people
'498497910216990720',"4 Killed After Collision Between Train, Autorickshaw in Bihar http://t.co/3Q9OrqDz3m #India #news",injured_or_dead_people
'498497916127154176',"#news 180 dead as floods wash away homes in Nepal, India http://t.co/8Gaf2Wek33 http://t.co/6Si3P3zzT5",injured_or_dead_people
'498497946342543360',RT @bhanupj: @Teamkejriwal @tweet_mit Major Portion of India severely afffected due to flood but majority of media busy in Chanting #BalNarâ€°Ã›_,other_useful_information
'498497954681192448',"Nepal, India floods leave nearly 200 dead, scores missing http://t.co/BUTBbVK2Rj",injured_or_dead_people
'498497964202274818',"#CNN Deadly monsoon hits India, Nepal: Dozens of people have been killed in flooding in northe... http://t.co/zZcljSg7su #TeamFollowBack",injured_or_dead_people
'498497964461916161',"RT @AP: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away straw huts: http://t.co/swMK102H5H",injured_or_dead_people
'498497974960275456',"Odisha floods kill 45, leave 300,000 villagers marooned ... - http://t.co/uHs3wu7kDB #NewsInTweetsIndia",injured_or_dead_people
'498497977561133056',indiawater: India promises to provide Rs 48 crore funds to Nepal's recent flood victims.  http://t.co/1DtLq452oO,donation_needs_or_offers_or_volunteering_services
'498497994178572289',"ASIA News: Monsoon kills hundreds in India, Nepal: Dozens of people have been killed in flooding in northern a... http://t.co/KKoEio9QOc",injured_or_dead_people
