_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
917599326,false,finalized,3,3/27/2016 11:08:05,other_useful_information,1.0,,'460396243022118912',( #JulioGarcia_x3 ) 10 Questions on the Deadly Middle Eastern Virus That Showed Up in Indi... http://t.co/KZk83skpD4 ( #JulioGarcia_x3 )
917599327,false,finalized,3,3/27/2016 13:15:37,affected_people,0.3723,,'460396258717233155',CDC: Infection Prevention &amp; Control Recommendations for Hospitalized Patients with Middle East Respiratory Syndrome http://t.co/OBfy4KvKum
917599328,false,finalized,4,3/27/2016 13:20:59,disease_signs_or_symptoms,0.7519,,'460396304519024640',2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/EAqaVfW9HO http://t.co/fecVbDVPxW
917599329,false,finalized,3,3/27/2016 09:44:44,affected_people,0.6458,,'460396339978072064',"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/8vbnmdMN1r"
917599330,false,finalized,3,3/27/2016 09:20:47,other_useful_information,0.3469,,'460396396534071296',"""Scientists question Saudi openness on deadly MERS virus outbreak"" http://t.co/EjAoePC9Pv"
917599331,false,finalized,3,3/27/2016 09:42:55,prevention,1.0,,'460396601010585600',"RT @WHO: There is a clear need to improve healthcare workers' knowledge, attitude abt #MERS in #Jeddah, apply infection prevention &amp; controâ€¦"
917599332,false,finalized,3,3/27/2016 09:04:43,disease_transmission,0.6724,,'460397076900487168',Deadly respiratory disease MERS hits US for the first time http://t.co/xfy5M9MNuZ
917599333,false,finalized,3,3/27/2016 10:18:04,other_useful_information,1.0,,'460397492329521152',RT @WHO: Dr Fukuda is now taking questions on #MERS from journalists in Geneva and those connected online
917599334,false,finalized,4,3/27/2016 17:43:47,affected_people,0.7551,,'460397584126083072',Saudi Arabia finds another 32 MERS cases as disease spreads: RIYADH (Reuters) - Saudi Arabia said on Thursday ... http://t.co/cPhm0uTRCo
917599335,false,finalized,3,3/27/2016 10:51:02,disease_signs_or_symptoms,0.6147,,'460397759087247360',RT @TIMEHealth: 2 hospital workers treating MERS patient show virus-like symptoms http://t.co/U2ncFZi61Y
917599336,false,finalized,3,3/27/2016 09:22:08,prevention,0.3363,,'460397940897378304',"RT @dr_davidson: ""Saudis question #Mecca preparedness as #MERS spreads"" via @AP : http://t.co/Vv3UDSwm0Y #SaudiArabia"
917599337,false,finalized,3,3/27/2016 09:04:43,disease_signs_or_symptoms,0.6724,,'460397967103754240',RT @abettel: Two workers at FL hospital exposed to a patient with Middle East Respiratory Syndrome are showing flu-like symptoms http://t.câ€¦
917599338,false,finalized,4,3/27/2016 10:17:11,disease_signs_or_symptoms,1.0,,'460398004596244482',"Coronavirus symptoms include: fever, coughing, shortness of breath, congestion in the nose and throat, and in some cases diarrhea."
917599339,false,finalized,3,3/27/2016 09:45:48,other_useful_information,1.0,,'460398064923344896',"RT @ECDC_EU: Communicable Disease Threats Report Week 23; with updates on #Ebola, #MERS-CoV &amp; chikungunya.  #CDTR http://t.co/zvmInNsfcF"
917599340,false,finalized,3,3/27/2016 10:16:55,other_useful_information,1.0,,'460398096309309440',"How many people can explain the difference between MERS, MRS(A), and MERS - a company, infection, &amp; disease respectively. Without googling!"
917599341,false,finalized,3,3/27/2016 10:51:02,other_useful_information,1.0,,'460398146380902400',WHO holds emergency meeting on deadly Saudi MERS virus: LONDON (Reuters) - Health and infectious disease experts met at the World Hea...
917599342,false,finalized,3,3/27/2016 10:29:07,disease_signs_or_symptoms,0.3419,,'460398200315080704',#WebDesigning 2 in Florida Show Symptoms of Deadly Middle Eastern Virus http://t.co/tidpmTynTx
917599343,false,finalized,3,3/27/2016 09:42:55,disease_signs_or_symptoms,0.6648,,'460398268070244352',"2 workers at Orlando, Fla., hospital exposed to MERS patient have begun showing flu-like symptoms - @Reuters http://t.co/rcKjq38IRu"
917599344,false,finalized,3,3/27/2016 10:51:02,disease_transmission,1.0,,'460398364228874240',RT @BloombergNews: Camel snot blamed for transmission of deadly MERS virus http://t.co/hXSadRTpPC
917599345,false,finalized,3,3/27/2016 10:18:04,other_useful_information,0.6512,,'460398400970575872',"@drmohka Updated MERS-CoV case definition, prevention and control by Saudi MOH, May 13th, 2014:  http://t.co/tQiEJTyBT0"
917599346,false,finalized,3,3/27/2016 10:52:05,treatment,0.6759,,'460398429802594304',"As MERS hits U.S., scientists search for causes, treatments: As two cases of Middle East respiratory syndrome,... http://t.co/b2WXjkH0Eg"
917599347,false,finalized,3,3/27/2016 11:00:37,disease_signs_or_symptoms,1.0,,'460398461972541440',"#MERS is a relatively new respiratory illness, spread b/w people in close contact. Symptoms are fever, cough, &amp; shortness of breath."
917599348,false,finalized,3,3/27/2016 10:28:15,other_useful_information,1.0,,'460398492465119232',"Scientists question Saudi openness on deadly MERS virus outbreak: LONDON, June 5 (Reuters) - A dramatic upward... http://t.co/XvzcVVZhf0"
917599349,false,finalized,4,3/27/2016 10:07:49,disease_signs_or_symptoms,0.7407,,'460398552372752384',RT @DrFriedenCDC: Clinicians &amp; health officials must watch for #MERS symptoms in patients whoâ€™ve recently traveled in/near Arabian Peninsulâ€¦
917599350,false,finalized,4,3/27/2016 10:16:51,disease_signs_or_symptoms,0.4913,,'460398555329331200',RT @martinenserink: The man who developed antibodies in Indiana had mild cold-like symptoms; does not count as a #MERS case. http://t.co/qMâ€¦
917599351,false,finalized,3,3/27/2016 10:52:05,affected_people,0.6582,,'460398592939659264',#TyoNews MERS Mystery: Disease Detectives Search for Infected Travelers: Disease detectives are going th... http://t.co/wOevSVVyLm #News
917599352,false,finalized,3,3/27/2016 10:51:02,disease_transmission,0.6751,,'460398876827320320',RT @TomP_FOX28: #MERS in INDIANA:  How contagious is the virus?  IU Chemistry Professor says there are still a lot of questions... http://tâ€¦
917599353,false,finalized,4,3/27/2016 10:16:51,disease_signs_or_symptoms,0.4913,,'460399197699981312',Two patients with respiratory symptoms and travel history test negative for MERS-CoV ... - http://t.co/N5RP6Mpbmu
917599354,false,finalized,3,3/27/2016 10:52:05,other_useful_information,0.6658,,'460399260291186690',"Saudis Question Mecca Preparedness as MERS Spreads: As MERS virus spreads, Saudis question Mecca preparedness ... http://t.co/Z3aA8bEi4p"
917599355,false,finalized,5,3/27/2016 13:21:15,other_useful_information,1.0,,'460399448871665665',MT @NASciences: How much do you know about infectious disease? Check out free resources #MERS http://t.co/hLZf0S1lF3 http://t.co/rGtSMcvZ0H
917599356,false,finalized,3,3/27/2016 09:48:55,affected_people,1.0,,'460399569051062272',Third Case of MERS Confirmed in the U.S.: The U.S. Centers for Disease Control and Prevention confirmed on Sat... http://t.co/Sb8PMyxVUn
917599357,false,finalized,3,3/27/2016 10:23:51,affected_people,1.0,,'460399646729601024',"RT @PzFeed: Patient in Florida confirmed as 2nd imported U.S. case of MERS, Centers for Disease Control and Prevention says - @BNONews"
917599358,false,finalized,4,3/27/2016 10:21:35,other_useful_information,0.5152,,'460399751477743617',#Matzav_com Deadly MERS Disease Found in U.S. http://t.co/6vD09Tw1Xc
917599359,false,finalized,3,3/27/2016 10:34:41,other_useful_information,1.0,,'460399795212140544',#mashable 10 Questions on the Deadly Middle Eastern Virus That Showed Up in Indiana http://t.co/Kv0h1o4tWz @freevivek
917599360,false,finalized,3,3/27/2016 09:20:47,other_useful_information,0.6939,,'460400017107214336',"Top story: MERS Search: Disease Detectives Beat Bushes for Virus - NBC News http://t.co/bSIhf2WhFc, see more http://t.co/VvsyuUFuAG"
917599361,false,finalized,4,3/27/2016 11:04:56,affected_people,0.7504,,'460400130273730561',RT @ReutersUS: Two Orlando health workers are showing symptoms after they were exposured to a #MERS patient: http://t.co/NAurkEhlbo http://â€¦
917599362,false,finalized,3,3/27/2016 11:08:05,prevention,1.0,,'460400471992070144',The fatal flaw in disease outbreak prevention: it's the animals http://t.co/3ENqfOYeNn #pandemics #MERS #SARS http://t.co/EFXeu7qmAy
917599363,false,finalized,3,3/27/2016 11:08:05,affected_people,1.0,,'460400481089515520',"Newest US #MERS case was infected by Indiana patient, CDC says -  The Centers for Disease Control and Prevention... http://t.co/8vbnmdMN1r"
