tweet_id,tweet_text,label
'508332154271461376',"RT @Endtimesnews: Raging Floods Kill Over 440 in Pakistan, India - ABC News http://t.co/mhEu6gpg1U via @ABC",injured_or_dead_people
'508332173532073985',RT @Joydas: Please use Kashmir Flood hashtag only if u need help or offering help so that agencies can track. Keep it free from ur politicaÃ¢â‚¬Â_,donation_needs_or_offers_or_volunteering_services
'508332177608568832',Jammu and Kashmir Floods: Yasin Malik Creates Hurdles In Indian ArmyÃ¢â‚¬â„¢s Relief Ã¢â‚¬Â_ Ã¢â‚¬â€œ http://t.co/18xkPUmKaeÃ‚Â #TopNews http://t.co/1ky91jbIT4,other_useful_information
'508332184613027840',"Pakistan Flood Sinks Boat Carrying Wedding Party: Boat carrying wedding party sinks in Pakistan flood, killing 18 http://t.co/3iA8InjT3p",injured_or_dead_people
'508332187448401920',RT @KlasraRauf: Pungovt claims CMSS took 9 helicopter flights2South Punjab in1day to monitor floods Oh I got it.Floods got frightened&amp;now eÃ¢â‚¬Â_,donation_needs_or_offers_or_volunteering_services
'508332198714294272',RT @timesofindia: J&amp;K floods: Helpline numbers http://t.co/OG4GWlqMgs Do RT.  #KashmirFloods http://t.co/eOq4oJrFE5,donation_needs_or_offers_or_volunteering_services
'508332211821490176',"RT @ahsan_jehangir: Heavy rainfall and floods #India #PakistanFloods, leading to some of the worst flooding in decades. http://t.co/CO2sY6MÃ¢â‚¬Â_",caution_and_advice
'508332237591293952',RT @abpnewstv: Hafiz Saeed blames 'water terrorism' by India for Kashmir floods http://t.co/IBcQaAEvlG,other_useful_information
'508332247867355136',United Nations Authority: Flood Rescue Operations In Kashmir (India) http://t.co/CQT4JPvYjV,donation_needs_or_offers_or_volunteering_services
'508332247900901376',flood affected people of jammu and kashmir and relatives of those people can use this http://t.co/cSELRTXTlV,sympathy_and_emotional_support
'508332262317113345',"They are not organized like Kashmir. 28 dead in landslides, floods in northeast India  http://t.co/QcfmZA7Slb",injured_or_dead_people
